T_Set,Thermostate_Switch,T_Room
19,0,19.5893
19,0,19.612
19,0,19.634
19,0,19.6553
19,0,19.6758
19,0,19.6956
19,0,19.7147
19,0,19.7332
19,0,19.7509
19,0,19.7679
19,0,19.7843
19,0,19.8001
19,0,19.8152
19,0,19.8296
19,0,19.8435
19,0,19.8567
19,0,19.8693
19,0,19.8813
19,0,19.8927
19,0,19.9035
19,0,19.9138
19,0,19.9235
19,0,19.9327
19,0,19.9413
19,0,19.9493
19,0,19.9569
19,0,19.9639
19,0,19.9704
19,0,19.9764
19,0,19.9819
19,0,19.9869
19,0,19.9914
19,0,19.9955
19,0,19.999
19,0,20.0021
19,0,20.0048
19,0,20.007
19,0,20.0088
19,0,20.0101
19,0,20.011
19,0,20.0115
19,0,20.0116
19,0,20.0113
19,0,20.0105
19,0,20.0094
19,0,20.0079
19,0,20.006
19,0,20.0037
19,0,20.0011
19,0,19.9981
19,0,19.9947
19,0,19.991
19,0,19.9869
19,0,19.9825
19,0,19.9778
19,0,19.9727
19,0,19.9673
19,0,19.9615
19,0,19.9555
19,0,19.9492
19,0,19.9425
19,0,19.9362
19,0,19.9296
19,0,19.9227
19,0,19.9155
19,0,19.9081
19,0,19.9003
19,0,19.8923
19,0,19.884
19,0,19.8754
19,0,19.8666
19,0,19.8575
19,0,19.8481
19,0,19.8387
19,0,19.8291
19,0,19.8192
19,0,19.8091
19,0,19.7988
19,0,19.7882
19,0,19.7774
19,0,19.7663
19,0,19.7551
19,0,19.7436
19,0,19.7319
19,0,19.72
19,0,19.7081
19,0,19.696
19,0,19.6837
19,0,19.6712
19,0,19.6585
19,0,19.6456
19,0,19.6326
19,0,19.6193
19,0,19.6059
19,0,19.5922
19,0,19.5785
19,0,19.5645
19,0,19.5508
19,0,19.5369
19,0,19.5229
19,0,19.5087
19,0,19.4943
19,0,19.4798
19,0,19.4651
19,0,19.4503
19,0,19.4353
19,0,19.4202
19,0,19.405
19,0,19.3896
19,0,19.3744
19,0,19.3592
19,0,19.3438
19,0,19.3282
19,0,19.3126
19,0,19.2968
19,0,19.2809
19,0,19.2648
19,0,19.2487
19,0,19.2324
19,0,19.216
19,0,19.1995
19,0,19.183
19,0,19.1665
19,0,19.1498
19,0,19.1331
19,0,19.1162
19,0,19.0993
19,0,19.0822
19,0,19.065
19,0,19.0478
19,0,19.0304
19,0,19.013
19,0,18.9954
19,0,18.9778
19,0,18.9601
19,0,18.9423
19,0,18.9244
19,0,18.9064
19,0,18.8883
19,0,18.8702
19,0,18.852
19,0,18.8337
19,0,18.8153
19,0,18.7969
19,0,18.7784
19,0,18.7598
19,0,18.7412
19,0,18.7225
19,0,18.7037
19,0,18.6849
19,0,18.666
19,0,18.6471
19,0,18.6281
19,0,18.609
19,0,18.5899
19,0,18.5707
19,0,18.5515
19,0,18.5322
19,0,18.5129
19,0,18.4935
19,1,18.4741
19,1,18.458
19,1,18.4452
19,1,18.4356
19,1,18.4293
19,1,18.426
19,1,18.4259
19,1,18.4288
19,1,18.4347
19,1,18.4434
19,1,18.4545
19,1,18.4678
19,1,18.4832
19,1,18.5004
19,1,18.5192
19,1,18.5395
19,1,18.561
19,1,18.5838
19,1,18.6076
19,1,18.6324
19,1,18.6579
19,1,18.6843
19,1,18.7112
19,1,18.7388
19,1,18.7668
19,1,18.7953
19,1,18.8242
19,1,18.8534
19,1,18.8829
19,1,18.9126
